date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1959-12-01,0.0,1.506535521661129e-113,4.693929802131191e-41,1.0,0.0,4.063112645953415e-80
1960-01-01,0.0,1.3168487854013186e-111,5.566692990617269e-41,1.0,0.0,5.624492932636476e-76
1960-02-01,0.0,2.8525152962335534e-55,4.1204248295722127e-23,1.0,0.0,1.2350618782214086e-48
1960-03-01,0.0,3.0307456527939995e-275,3.436321381453306e-90,1.1499390335363193e-53,1.0,0.0
1960-04-01,0.0,1.436862812926327e-221,0.9999999904224097,9.577589497788926e-09,0.0,3.754500399546368e-171
1960-05-01,0.0,2.998142002125357e-99,5.993284691126982e-41,4.3765721726476045e-16,0.0,1.0
1960-06-01,0.0,1.5945180546214622e-69,1.3776180340625948e-20,2.8410087811477123e-17,1.0,2.4001137449203816e-27
1960-07-01,0.0,2.1334904606301202e-69,2.006640708724939e-12,0.9999999999979963,0.0,3.637024896403662e-32
1960-08-01,0.0,5.505508813028369e-57,1.4778577272280153e-22,1.0,0.0,1.7471725121600121e-16
1960-09-01,0.0,3.7420554295693417e-62,4.3669472253343586e-29,6.947316839188229e-22,1.0,2.516466799063139e-37
1960-10-01,0.0,4.401506850334215e-83,8.850927319332985e-44,3.266151346860269e-25,1.0,1.6769542381069212e-59
1960-11-01,0.0,9.452412165628259e-145,2.248756782383275e-33,1.1261254098150753e-28,1.0,2.2962533490026488e-51
1960-12-01,0.0,7.959609242115974e-149,1.0104988594175701e-56,2.440418854434293e-53,1.0,4.028092654049792e-73
1961-01-01,0.0,5.824318456150425e-107,7.423395429151603e-58,3.3513568080852285e-33,1.0,4.4236736841644264e-61
1961-02-01,0.0,9.075536987361802e-39,3.089059204021899e-28,2.1397008047897652e-23,1.0,5.292335374150884e-46
1961-03-01,0.0,3.9293085727404165e-61,5.677843807379834e-16,1.0,0.0,4.7632244575185393e-39
1961-04-01,0.0,6.533350266167811e-69,3.1002911930006573e-26,1.0,0.0,4.4531346956727875e-59
1961-05-01,0.0,8.751426864681015e-65,2.168059313611954e-23,1.0,0.0,7.681331894936274e-23
1961-06-01,0.0,1.3178256427298283e-62,1.2231171570265361e-18,1.0,0.0,2.0432520487135418e-20
1961-07-01,0.0,5.476066548352642e-57,3.010065529911489e-22,1.0,0.0,4.2131028137148145e-43
1961-08-01,0.0,2.0218801565924693e-53,8.06602952392079e-19,1.0,0.0,4.078656793787169e-33
1961-09-01,0.0,7.283534030412187e-58,6.087789484884083e-24,1.0,0.0,1.764721439091764e-52
1961-10-01,0.0,1.7166660612884774e-132,7.679976818806651e-20,1.0,0.0,6.520716740916741e-40
1961-11-01,0.0,2.751152647091621e-45,5.944641588930435e-19,1.0,0.0,1.2042715615234641e-21
1961-12-01,0.0,2.022409441199844e-57,2.2460806055506023e-15,1.0,0.0,2.663261852290894e-19
1962-01-01,0.0,5.299202647826625e-35,4.5044597944821357e-10,0.9999999995495514,0.0,8.529643235679455e-16
1962-02-01,0.0,2.984654035577915e-134,3.183444357256334e-27,1.0,0.0,1.3271334608083547e-82
1962-03-01,0.0,1.1160385097293444e-63,2.6169939708084196e-25,1.0,0.0,2.90623586609806e-104
1962-04-01,0.0,1.872786409899805e-79,3.9274971629473726e-20,1.0,0.0,1.6380103293071572e-28
1962-05-01,0.0,1.0305611105824347e-36,6.507991789259873e-09,0.9999999934920041,0.0,1.2161324346731178e-15
1962-06-01,0.0,2.820557516779917e-55,1.6624813588212072e-23,1.0,0.0,2.647263348439212e-40
1962-07-01,0.0,3.672696302426317e-74,2.873013056329344e-20,1.0,0.0,4.457750245260192e-44
1962-08-01,0.0,7.961621831037622e-48,1.7088758491993238e-14,0.9999999999999858,0.0,7.701703551431555e-20
