date,strategy_return,predicted_regime,position_method,top_l,forecast_method,n_same_regime_obs,long_etfs,short_etfs,gross_exposure,net_exposure
2004-02-01,-0.011431825070045436,0,lns,2,regime_conditioned,48,"XLF,XLB","XLK,SPY",1.0,0.015920887796895655
2004-03-01,0.025151094595396894,0,lns,2,regime_conditioned,49,"XLF,XLE","XLK,SPY",1.0,0.10789919360474176
2004-04-01,-0.0012828984069733276,0,lns,2,regime_conditioned,50,"XLF,XLE","XLK,SPY",1.0,0.19066899019603395
2004-05-01,0.008982779678226836,0,lns,2,regime_conditioned,51,"XLF,XLE","XLK,SPY",1.0,0.12521243064611776
2004-06-01,-0.00993606263669931,0,lns,2,regime_conditioned,52,"XLF,XLE","XLK,SPY",1.0,0.08587854758761038
2004-07-01,0.006310595694765094,0,lns,2,regime_conditioned,53,"XLF,XLE","XLK,SPY",0.9999999999999998,0.10049871952172235
2004-08-01,0.01911144651666144,0,lns,2,regime_conditioned,54,"XLF,XLE","XLK,SPY",1.0,0.1477045107377954
2004-09-01,0.018834826647791604,0,lns,2,regime_conditioned,55,"XLF,XLE","XLK,SPY",1.0,0.12227003807982001
2004-10-01,0.010696531444742903,0,lns,2,regime_conditioned,56,"XLF,XLE","XLK,SPY",1.0,0.12388551232147721
2004-11-01,-0.01421098233333742,0,lns,2,regime_conditioned,57,"XLE,XLF","XLK,SPY",1.0,0.22886187158630683
2004-12-01,0.005953276267761199,0,lns,2,regime_conditioned,58,"XLE,XLF","XLK,SPY",1.0,0.2280213438560828
2005-01-01,-0.008557313638129489,0,lns,2,regime_conditioned,59,"XLE,XLF","XLK,SPY",1.0,0.37351630225659976
2005-02-01,0.039119210072522795,0,lns,2,regime_conditioned,60,"XLF,XLE","XLK,SPY",1.0,0.37848618792371125
2005-03-01,0.03965545519919324,0,lns,2,regime_conditioned,61,"XLE,XLF","XLK,SPY",1.0,0.3728784583309435
2005-04-01,0.002275548053783105,0,lns,2,regime_conditioned,62,"XLE,XLF","XLK,SPY",1.0000000000000002,0.43581593899691795
