component,explained_variance_ratio,cumulative_explained_variance
PC1,0.22508789621575725,0.22508789621575725
PC2,0.08717425397204788,0.3122621501878051
PC3,0.07261780226202127,0.3848799524498264
PC4,0.04044733508520689,0.4253272875350333
PC5,0.03321773403380346,0.45854502156883675
PC6,0.030301452015747805,0.48884647358458455
PC7,0.024517990761138444,0.513364464345723
PC8,0.0229575790973373,0.5363220434430603
PC9,0.02237685216312047,0.5586988956061808
PC10,0.02134060648487931,0.5800395020910601
PC11,0.020267118580491243,0.6003066206715514
PC12,0.018769141363360865,0.6190757620349122
PC13,0.016671697951564906,0.6357474599864771
PC14,0.015071494197398077,0.6508189541838751
PC15,0.014955208342082247,0.6657741625259573
PC16,0.014300307297983903,0.6800744698239413
PC17,0.013587535891229048,0.6936620057151703
PC18,0.013240050936219432,0.7069020566513897
PC19,0.01222497000653831,0.719127026657928
PC20,0.011393898034561315,0.7305209246924894
PC21,0.010922031828227327,0.7414429565207168
PC22,0.010749172337294841,0.7521921288580117
PC23,0.010560678609646827,0.7627528074676585
PC24,0.010178711411419208,0.7729315188790777
PC25,0.009911022684487727,0.7828425415635655
PC26,0.009646928292234725,0.7924894698558002
PC27,0.009195969413108745,0.8016854392689089
PC28,0.008809658211542705,0.8104950974804516
PC29,0.00845491687269981,0.8189500143531514
PC30,0.008196363119040243,0.8271463774721917
PC31,0.007985106848253671,0.8351314843204454
PC32,0.007756137857888713,0.8428876221783341
PC33,0.0077141413128305365,0.8506017634911647
PC34,0.007404459560150781,0.8580062230513155
PC35,0.006957713420780379,0.8649639364720958
PC36,0.006742913525274363,0.8717068499973701
PC37,0.006432300193550327,0.8781391501909205
PC38,0.006088168882816586,0.8842273190737371
PC39,0.005800403608523151,0.8900277226822603
PC40,0.005622127545753029,0.8956498502280132
PC41,0.005408520385667192,0.9010583706136804
PC42,0.0053526191281360325,0.9064109897418164
PC43,0.005070338223769492,0.9114813279655859
PC44,0.004944113572674309,0.9164254415382602
PC45,0.00457607924791651,0.9210015207861767
PC46,0.004524306590330405,0.9255258273765071
PC47,0.0042853869019764635,0.9298112142784836
PC48,0.004260150886465547,0.9340713651649492
PC49,0.004155474758907045,0.9382268399238562
PC50,0.003996250592512799,0.9422230905163691
PC51,0.0036601295618205157,0.9458832200781896
PC52,0.003557944159359002,0.9494411642375485
PC53,0.0033188470804189616,0.9527600113179675
