model,Sharpe,Sortino,MaxDD,% Positive Ret.
naive_lo_2,0.557,0.631,-0.293,0.66
naive_lns_2,0.509,0.618,-0.301,0.642
naive_los_2,0.421,0.483,-0.304,0.623
naive_mx_2,0.516,0.586,-0.304,0.651
naive_lo_3,0.616,0.731,-0.287,0.647
naive_lns_3,0.59,0.731,-0.293,0.633
naive_los_3,0.558,0.663,-0.278,0.628
naive_mx_3,0.587,0.685,-0.278,0.637
naive_lo_4,0.623,0.729,-0.297,0.66
naive_lns_4,0.603,0.751,-0.315,0.637
naive_los_4,0.639,0.772,-0.289,0.637
naive_mx_4,0.582,0.67,-0.289,0.651
spy,0.432,0.509,-0.512,0.651
ew,0.412,0.448,-0.509,0.656
mvo_lo,0.45,0.512,-0.4,0.637
