model,Sharpe,Sortino,MaxDD,% Positive Ret.
bl_lo_2,0.609,0.688,-0.271,0.679
bl_lns_2,0.591,0.694,-0.343,0.656
bl_lo_3,0.615,0.699,-0.277,0.688
bl_lns_3,0.615,0.754,-0.345,0.642
bl_lo_4,0.555,0.622,-0.301,0.674
bl_lns_4,0.626,0.772,-0.359,0.642
mvo_lo_2,0.514,0.633,-0.362,0.66
mvo_lns_2,0.44,0.561,-0.3,0.595
mvo_lo_3,0.472,0.559,-0.383,0.647
mvo_lns_3,0.389,0.471,-0.338,0.614
mvo_lo_4,0.445,0.516,-0.417,0.651
mvo_lns_4,0.437,0.531,-0.381,0.619
spy,0.432,0.509,-0.512,0.651
ew,0.412,0.448,-0.509,0.656
